timestamp_ms,update_count,mid_price,best_bid,best_ask,spread,latency_ns,num_updates,imbalance,buy_aggression,sell_aggression,aggression_ratio,nearest_ask_wall_price,nearest_ask_wall_qty,nearest_bid_wall_price,nearest_bid_wall_qty,wall_event
1772057305073,83,69040.20,69040.19,69040.20,0.01,138111,293,0.5316,1484.0682,1158.7280,0.5616,69063.31,6.13,68914.21,7.24,[WALL APPEARED] BID $58000.000  279. BTC
1772057306065,84,69040.20,69040.19,69040.20,0.01,159398,145,0.6002,1490.4435,1161.2886,0.5621,69063.31,6.13,68914.21,7.24,[WALL APPEARED] ASK $71000.000  64.4 BTC
1772057307072,85,69032.12,69032.12,69032.13,0.01,530274,865,0.1235,1525.4664,1209.4112,0.5578,69063.31,6.13,68896.72,7.24,[WALL APPEARED] ASK $75000.000  52.2 BTC
1772057308068,86,69032.12,69032.12,69032.13,0.01,157713,191,0.1124,1529.0208,1210.6607,0.5581,69063.31,6.13,68896.72,7.24,[WALL APPEARED] ASK $75000.000  52.2 BTC
1772057309068,87,69032.12,69032.12,69032.13,0.01,277491,203,0.5604,1545.8251,1221.5014,0.5586,69063.31,6.13,68896.72,7.24,[WALL APPEARED] ASK $75000.000  52.2 BTC
1772057310073,88,69032.12,69032.12,69032.13,0.01,45809,86,0.5054,1552.5853,1221.7108,0.5596,69063.31,6.13,68896.72,7.24,[WALL APPEARED] ASK $75000.000  52.2 BTC
1772057311089,89,69025.70,69025.69,69025.70,0.01,500697,690,0.5067,1581.5789,1256.8956,0.5572,69063.31,6.13,68896.72,7.24,[WALL APPEARED] ASK $71500.000  33.3 BTC
1772057312091,90,69025.70,69025.69,69025.70,0.01,140921,90,0.6175,1583.9654,1262.9269,0.5564,69063.31,6.13,68896.72,7.24,[WALL APPEARED] BID $59000.000  143. BTC
1772057313148,91,69025.70,69025.69,69025.70,0.01,56785,75,0.4229,1588.5855,1267.5812,0.5562,69063.31,6.13,68896.72,7.24,[WALL APPEARED] BID $59000.000  143. BTC
1772057314068,92,69024.26,69024.26,69024.27,0.01,445347,516,0.1328,1610.3277,1340.2956,0.5458,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68892.970  7.24 BTC
1772057315061,93,69024.26,69024.26,69024.27,0.01,51326,128,0.1413,1613.2470,1340.4533,0.5462,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68892.970  7.24 BTC
1772057316067,94,69024.26,69024.26,69024.27,0.01,248348,163,0.0036,1616.5031,1361.1962,0.5429,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68892.970  7.24 BTC
1772057317074,95,69017.67,69017.66,69017.67,0.01,307884,278,0.2603,1623.9549,1365.3514,0.5433,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68892.970  7.24 BTC
1772057318064,96,69017.67,69017.66,69017.67,0.01,171064,101,0.5224,1627.5276,1366.6607,0.5436,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68892.970  7.24 BTC
1772057319071,97,69017.67,69017.66,69017.67,0.01,213290,201,0.8064,1643.4086,1372.0543,0.5450,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68892.970  7.24 BTC
1772057320067,98,69017.67,69017.66,69017.67,0.01,17017,29,0.8067,1643.4160,1374.3461,0.5446,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68892.970  7.24 BTC
1772057321074,99,69017.67,69017.66,69017.67,0.01,104178,61,0.8042,1644.7165,1374.4643,0.5448,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68892.970  7.24 BTC
1772057322074,100,69017.67,69017.66,69017.67,0.01,141129,158,0.6850,1652.3887,1379.5045,0.5450,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68892.970  7.24 BTC
1772057323061,101,69017.67,69017.66,69017.67,0.01,77410,68,0.6704,1655.2504,1383.2906,0.5448,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68892.970  7.24 BTC
1772057324432,102,69017.67,69017.66,69017.67,0.01,36476,47,0.6704,1644.4745,1382.8009,0.5432,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68892.970  7.24 BTC
1772057325080,103,69017.67,69017.66,69017.67,0.01,50118,88,0.6722,1622.9779,1379.2633,0.5406,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68892.970  7.24 BTC
1772057326064,104,69017.67,69017.66,69017.67,0.01,71326,60,0.6110,1617.6551,1378.0392,0.5400,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68892.970  7.24 BTC
1772057327078,105,69017.67,69017.66,69017.67,0.01,80552,58,0.6750,1596.5555,1343.3101,0.5431,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68892.970  7.24 BTC
1772057328061,106,69017.67,69017.66,69017.67,0.01,41267,44,0.6315,1594.8906,1337.8059,0.5438,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $68892.970  7.24 BTC
1772057329066,107,69017.67,69017.66,69017.67,0.01,81868,59,0.6314,1594.0510,1336.3200,0.5440,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $62000.000  182. BTC
1772057330099,108,69017.67,69017.66,69017.67,0.01,38744,75,0.5822,1584.8530,1335.9169,0.5426,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $62000.000  182. BTC
1772057331070,109,69017.67,69017.66,69017.67,0.01,76094,45,0.6496,1583.3995,1335.9435,0.5424,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $62000.000  182. BTC
1772057332092,110,69017.67,69017.66,69017.67,0.01,204063,190,0.2937,1585.1160,1342.3695,0.5415,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $62000.000  182. BTC
1772057333064,111,69017.67,69017.66,69017.67,0.01,107154,110,0.4183,1576.8716,1344.3751,0.5398,69063.31,6.13,68893.99,7.26,[WALL APPEARED] BID $66500.000  17.1 BTC
